Respondent_ID,Household_ID,PSU_ID,Stratum,Zone,State,Urban_Rural,Household_Size,Monthly_Income,Age,Gender,Education,Employment,Response_Probability,Survey_Time_Min,Travel_Difficulty,GPS_Distance_km,Team_Assigned,Team_Experience_Years,Interview_Cost,Sampling_Weight,Response_Status
R00047,HH0019,PSU179,Urban,North,Haryana,Urban,8,82448,23,Female,Graduate,Student,0.67,46,4,15.7,Team_D,6,26.12,2.22,Completed
R00048,HH0019,PSU176,Urban,North,Delhi,Urban,5,36142,39,Female,Secondary,Self-employed,0.76,39,3,10.2,Team_D,2,19.55,2.02,Completed
R00049,HH0020,PSU111,Urban,North,Delhi,Urban,2,93963,24,Female,Postgraduate,Student,0.77,31,3,10.9,Team_C,9,19.22,1.32,Completed
R00050,HH0020,PSU115,Urban,East,Bihar,Urban,2,114297,40,Male,Graduate,Self-employed,0.71,25,4,12.4,Team_B,9,19.93,1.35,Completed
R00051,HH0020,PSU138,Urban,West,Gujarat,Urban,7,85380,55,Female,Secondary,Student,0.82,44,2,6.7,Team_B,6,16.6,2.21,Completed
R00052,HH0021,PSU159,Urban,East,Odisha,Urban,3,48472,21,Male,Graduate,Student,0.69,31,4,13.7,Team_C,6,22.39,1.79,Completed
R00053,HH0021,PSU198,Urban,North,Punjab,Urban,3,44644,58,Male,Graduate,Farmer,0.85,27,1,4.3,Team_A,2,11.7,1.22,Completed
R00054,HH0021,PSU122,Urban,West,Maharashtra,Urban,4,116150,31,Female,Secondary,Self-employed,0.76,29,3,11.6,Team_A,9,18.57,1.47,Refused
R00055,HH0021,PSU112,Urban,North,Punjab,Urban,7,42234,39,Female,Graduate,Salaried,0.76,39,3,13.4,Team_B,7,22.98,1.84,Completed
R00056,HH0022,PSU190,Urban,West,Rajasthan,Urban,8,91308,29,Female,Higher Secondary,Student,0.83,47,2,8.0,Team_B,6,19.59,2.26,Completed
R00057,HH0023,PSU106,Urban,South,Karnataka,Urban,2,68226,69,Male,Higher Secondary,Farmer,0.7,30,4,13.7,Team_D,9,21.75,1.6,Completed
R00058,HH0023,PSU167,Urban,South,Tamil Nadu,Urban,7,114161,39,Male,Secondary,Salaried,0.85,37,2,7.1,Team_C,8,16.14,1.3,Completed
R00059,HH0023,PSU195,Urban,East,Bihar,Urban,4,66058,44,Male,Higher Secondary,Unemployed,0.79,34,2,8.2,Team_D,3,17.08,1.65,Completed
R00060,HH0023,PSU149,Urban,North,Haryana,Urban,4,79585,51,Female,Graduate,Self-employed,0.79,37,2,9.7,Team_B,2,17.62,1.34,Completed
R00061,HH0023,PSU147,Urban,North,Haryana,Urban,8,37647,20,Female,Secondary,Salaried,0.88,39,1,7.2,Team_D,9,15.46,0.9,Completed
R00062,HH0023,PSU132,Urban,West,Maharashtra,Urban,7,62835,48,Male,Higher Secondary,Salaried,0.77,35,3,10.3,Team_A,1,18.84,2.25,Completed
R00063,HH0024,PSU163,Urban,South,Tamil Nadu,Urban,8,109564,32,Male,Higher Secondary,Salaried,0.79,50,2,8.4,Team_C,3,19.89,1.76,Completed
R00064,HH0025,PSU188,Urban,North,Punjab,Urban,6,67970,38,Male,Higher Secondary,Unemployed,0.73,39,4,13.1,Team_A,5,21.86,0.83,Completed
R00065,HH0025,PSU139,Urban,East,West Bengal,Urban,6,66610,23,Female,Graduate,Unemployed,0.86,35,2,8.4,Team_C,8,16.42,2.37,Completed
R00066,HH0026,PSU137,Urban,West,Rajasthan,Urban,6,87342,28,Female,Secondary,Unemployed,0.88,37,1,6.3,Team_D,9,15.12,2.44,Completed
R00067,HH0026,PSU147,Urban,North,Haryana,Urban,3,79829,29,Male,Primary,Unemployed,0.89,29,1,6.0,Team_D,6,14.69,2.48,Not Available
R00068,HH0026,PSU187,Urban,East,West Bengal,Urban,7,97563,19,Male,Higher Secondary,Salaried,0.76,33,3,13.1,Team_B,10,20.49,1.59,Completed
R00069,HH0026,PSU167,Urban,West,Gujarat,Urban,7,78552,32,Female,Higher Secondary,Self-employed,0.8,42,2,8.6,Team_D,4,18.78,1.38,Completed
R00070,HH0026,PSU186,Urban,West,Gujarat,Urban,7,113562,32,Female,Secondary,Unemployed,0.74,35,3,10.2,Team_B,9,18.24,1.32,Completed
R00071,HH0026,PSU177,Urban,East,Odisha,Urban,2,41581,38,Female,Graduate,Farmer,0.85,33,1,7.7,Team_B,5,15.06,1.08,Completed
R00072,HH0027,PSU101,Urban,North,Punjab,Urban,7,90322,32,Male,Higher Secondary,Unemployed,0.82,46,2,10.3,Team_C,9,20.88,1.08,Completed
R00073,HH0027,PSU117,Urban,West,Gujarat,Urban,8,38117,55,Male,Postgraduate,Student,0.86,35,1,5.4,Team_A,4,14.2,1.75,Completed
R00074,HH0027,PSU141,Urban,West,Rajasthan,Urban,2,70630,51,Female,Secondary,Salaried,0.85,24,1,5.8,Team_C,4,12.12,1.14,Not Available
R00075,HH0027,PSU132,Urban,South,Karnataka,Urban,2,39129,24,Male,Secondary,Student,0.84,27,1,4.2,Team_B,5,11.35,1.06,Refused
R00076,HH0027,PSU159,Urban,East,West Bengal,Urban,2,56016,29,Female,Postgraduate,Unemployed,0.82,27,2,9.5,Team_B,9,17.13,1.87,Completed
R00077,HH0028,PSU187,Urban,North,Delhi,Urban,3,106698,23,Male,Secondary,Self-employed,0.74,33,4,12.4,Team_C,4,21.15,2.31,Completed
R00078,HH0028,PSU104,Urban,West,Gujarat,Urban,4,103649,35,Male,Primary,Unemployed,0.79,32,3,11.5,Team_A,10,20.29,0.85,Refused
R00079,HH0028,PSU165,Urban,East,Odisha,Urban,7,49979,32,Male,Graduate,Self-employed,0.77,42,3,9.7,Team_B,6,20.85,2.21,Completed
R00080,HH0028,PSU154,Urban,East,Odisha,Urban,7,39176,52,Male,Higher Secondary,Farmer,0.75,41,3,11.0,Team_A,8,20.12,2.42,Completed
R00081,HH0029,PSU169,Urban,South,Karnataka,Urban,7,66483,53,Male,Secondary,Student,0.82,40,2,6.8,Team_C,1,16.13,1.68,Completed
R00082,HH0029,PSU114,Urban,South,Kerala,Urban,3,61997,44,Female,Higher Secondary,Salaried,0.78,34,3,11.6,Team_B,9,20.33,1.69,Completed
R00083,HH0030,PSU136,Urban,North,Punjab,Urban,3,53899,30,Male,Primary,Student,0.67,34,5,17.0,Team_A,10,25.27,1.64,Completed
R00084,HH0030,PSU147,Urban,East,West Bengal,Urban,3,100469,42,Male,Graduate,Student,0.77,30,3,10.2,Team_A,3,18.37,2.24,Completed
R00085,HH0030,PSU130,Urban,West,Gujarat,Urban,4,70769,34,Female,Secondary,Salaried,0.66,39,4,12.5,Team_C,9,21.66,1.58,Not Available
R00086,HH0030,PSU116,Urban,West,Rajasthan,Urban,4,71985,39,Female,Graduate,Salaried,0.78,34,3,11.4,Team_A,1,19.29,1.84,Completed
R00087,HH0030,PSU165,Urban,South,Tamil Nadu,Urban,7,80285,55,Female,Postgraduate,Salaried,0.86,45,1,6.2,Team_B,3,17.22,1.09,Completed
R00088,HH0030,PSU134,Urban,South,Kerala,Urban,4,38567,43,Male,Secondary,Salaried,0.85,26,2,7.1,Team_B,6,15.63,1.75,Completed
R00089,HH0031,PSU158,Urban,West,Gujarat,Urban,4,42136,31,Male,Higher Secondary,Farmer,0.81,33,2,9.9,Team_B,2,18.84,2.22,Completed
R00090,HH0032,PSU171,Urban,South,Karnataka,Urban,4,74579,31,Male,Postgraduate,Unemployed,0.75,33,3,10.8,Team_C,6,18.84,1.08,Completed
R00091,HH0033,PSU101,Urban,East,West Bengal,Urban,2,41801,42,Male,Higher Secondary,Student,0.86,25,1,4.6,Team_C,8,12.8,1.88,Refused
R00092,HH0033,PSU118,Urban,South,Kerala,Urban,4,34203,33,Female,Higher Secondary,Unemployed,0.86,30,1,5.9,Team_B,7,14.81,1.12,Completed
R00093,HH0034,PSU185,Urban,North,Punjab,Urban,7,113460,54,Female,Postgraduate,Self-employed,0.83,42,2,7.6,Team_D,4,17.07,2.32,Completed
R00094,HH0034,PSU148,Urban,West,Rajasthan,Urban,3,47580,40,Male,Graduate,Self-employed,0.81,24,2,8.3,Team_C,6,16.29,1.2,Completed
R00095,HH0035,PSU135,Urban,East,Odisha,Urban,6,66634,40,Male,Secondary,Unemployed,0.83,36,2,10.5,Team_D,9,18.8,1.86,Completed
R00096,HH0036,PSU157,Urban,East,Odisha,Urban,3,54676,50,Male,Primary,Salaried,0.75,32,3,10.4,Team_B,9,18.78,2.48,Completed
R00097,HH0037,PSU167,Urban,East,Bihar,Urban,6,34904,32,Male,Higher Secondary,Farmer,0.85,31,2,10.4,Team_B,6,18.13,2.02,Completed
R00098,HH0038,PSU197,Urban,North,Punjab,Urban,7,101457,46,Male,Secondary,Farmer,0.67,47,4,13.8,Team_D,6,24.15,1.68,Completed
R00099,HH0039,PSU176,Urban,South,Kerala,Urban,3,43350,27,Male,Higher Secondary,Student,0.84,27,2,8.7,Team_B,1,15.61,1.24,Completed
R00100,HH0040,PSU195,Urban,East,Odisha,Urban,5,35712,49,Male,Graduate,Unemployed,0.72,31,3,9.8,Team_D,9,18.17,1.26,Completed
R00101,HH0040,PSU162,Urban,North,Haryana,Urban,2,60586,18,Female,Higher Secondary,Salaried,0.77,22,3,11.0,Team_B,2,18.46,1.0,Completed
R00102,HH0040,PSU128,Urban,North,Delhi,Urban,2,34314,38,Female,Higher Secondary,Self-employed,0.71,23,4,13.1,Team_C,10,20.63,1.47,Completed
R00103,HH0040,PSU117,Urban,North,Haryana,Urban,5,82450,45,Female,Postgraduate,Salaried,0.71,38,4,14.2,Team_C,9,22.64,1.75,Completed
R00104,HH0040,PSU152,Urban,East,Odisha,Urban,6,40239,18,Male,Postgraduate,Farmer,0.88,30,1,4.7,Team_B,6,12.64,2.0,Completed
R00105,HH0040,PSU137,Urban,South,Karnataka,Urban,6,67074,48,Male,Secondary,Self-employed,0.84,36,2,9.0,Team_B,2,18.2,2.29,Completed
R00106,HH0041,PSU160,Urban,East,West Bengal,Urban,6,108200,45,Female,Graduate,Student,0.88,33,1,5.5,Team_C,7,14.72,1.99,Completed
R00107,HH0041,PSU133,Urban,West,Rajasthan,Urban,7,111352,42,Male,Higher Secondary,Student,0.73,49,3,12.6,Team_A,9,22.69,1.76,Completed
R00108,HH0041,PSU130,Urban,South,Kerala,Urban,4,86494,29,Male,Graduate,Unemployed,0.61,29,5,16.9,Team_C,2,24.33,2.2,Completed
R00109,HH0042,PSU188,Urban,East,Odisha,Urban,5,92749,19,Male,Higher Secondary,Farmer,0.9,24,1,4.7,Team_C,1,10.96,0.81,Completed
R00110,HH0042,PSU187,Urban,South,Tamil Nadu,Urban,6,60246,75,Female,Graduate,Farmer,0.75,35,3,11.0,Team_B,6,18.95,2.32,Completed
R00111,HH0042,PSU170,Urban,North,Haryana,Urban,6,33431,34,Male,Graduate,Farmer,0.85,42,1,7.4,Team_C,9,16.86,1.18,Completed
R00112,HH0042,PSU121,Urban,East,West Bengal,Urban,6,43284,31,Female,Higher Secondary,Self-employed,0.79,42,2,6.6,Team_C,7,16.42,1.53,Completed
R00113,HH0042,PSU177,Urban,North,Delhi,Urban,2,40279,31,Male,Postgraduate,Farmer,0.87,23,1,6.2,Team_A,10,13.42,1.83,Completed
R00114,HH0042,PSU113,Urban,South,Tamil Nadu,Urban,7,90733,22,Male,Postgraduate,Student,0.9,39,1,6.4,Team_D,1,16.21,1.59,Completed
R00115,HH0042,PSU148,Urban,South,Kerala,Urban,7,79586,37,Female,Secondary,Farmer,0.8,41,2,9.8,Team_D,10,18.39,1.78,Completed
R00116,HH0043,PSU132,Urban,North,Haryana,Urban,5,110970,48,Male,Postgraduate,Self-employed,0.86,34,1,6.5,Team_B,5,14.55,2.44,Not Available
R00117,HH0043,PSU182,Urban,East,West Bengal,Urban,5,45623,39,Female,Higher Secondary,Farmer,0.72,34,4,15.9,Team_B,1,24.82,1.67,Completed
R00118,HH0043,PSU106,Urban,North,Haryana,Urban,5,45123,41,Female,Higher Secondary,Student,0.7,31,4,13.0,Team_B,6,22.02,1.47,Completed
R00119,HH0043,PSU183,Urban,North,Haryana,Urban,7,80046,52,Female,Secondary,Self-employed,0.92,36,1,6.2,Team_A,9,15.06,2.14,Completed
R00120,HH0044,PSU182,Urban,North,Haryana,Urban,6,81504,18,Female,Secondary,Student,0.73,41,4,14.0,Team_B,9,23.22,1.74,Completed
R00121,HH0045,PSU116,Urban,South,Tamil Nadu,Urban,8,116514,18,Female,Secondary,Self-employed,0.82,40,2,6.9,Team_C,1,17.46,1.87,Completed
R00122,HH0045,PSU110,Urban,East,West Bengal,Urban,6,97746,32,Male,Postgraduate,Salaried,0.85,38,2,7.0,Team_D,10,15.97,1.22,Completed
R00123,HH0045,PSU195,Urban,North,Punjab,Urban,7,76304,45,Female,Higher Secondary,Student,0.86,47,2,7.5,Team_B,9,18.18,1.83,Completed
R00124,HH0045,PSU136,Urban,South,Kerala,Urban,4,49033,51,Female,Graduate,Student,0.89,36,1,6.6,Team_C,6,15.69,2.31,Completed
R00125,HH0045,PSU121,Urban,South,Kerala,Urban,7,45734,25,Female,Postgraduate,Unemployed,0.84,37,2,8.1,Team_C,1,16.99,1.18,Completed
R00126,HH0046,PSU180,Urban,South,Karnataka,Urban,7,66279,43,Female,Postgraduate,Unemployed,0.67,43,4,13.7,Team_A,3,24.42,2.06,Completed
R00127,HH0047,PSU110,Urban,North,Punjab,Urban,7,106085,32,Male,Postgraduate,Salaried,0.76,39,3,12.1,Team_B,4,22.15,2.45,Completed
R00128,HH0047,PSU155,Urban,West,Rajasthan,Urban,7,87641,40,Female,Higher Secondary,Student,0.86,40,2,6.9,Team_B,2,17.67,0.8,Completed
R00129,HH0047,PSU101,Urban,East,West Bengal,Urban,5,90693,49,Female,Higher Secondary,Farmer,0.79,37,3,10.5,Team_C,10,20.03,2.06,Completed
R00130,HH0048,PSU122,Urban,South,Karnataka,Urban,4,97128,48,Female,Higher Secondary,Salaried,0.85,25,1,5.5,Team_A,5,13.67,2.29,Completed
R00131,HH0049,PSU188,Urban,East,West Bengal,Urban,4,41289,25,Male,Secondary,Self-employed,0.68,33,4,14.3,Team_A,4,22.56,2.0,Completed
R00132,HH0050,PSU103,Urban,South,Karnataka,Urban,7,118247,41,Female,Secondary,Self-employed,0.73,35,3,10.1,Team_B,6,19.68,1.07,Completed
R00133,HH0051,PSU123,Urban,North,Haryana,Urban,4,53260,25,Female,Higher Secondary,Farmer,0.68,38,5,16.1,Team_C,4,24.78,1.94,Completed
R00134,HH0051,PSU107,Urban,East,West Bengal,Urban,5,117021,59,Female,Postgraduate,Self-employed,0.7,41,4,13.2,Team_D,1,23.34,0.99,Not Available
R00135,HH0052,PSU100,Urban,East,West Bengal,Urban,5,115371,28,Female,Higher Secondary,Farmer,0.74,34,3,9.6,Team_D,8,18.61,1.94,Completed
R00136,HH0053,PSU123,Urban,West,Maharashtra,Urban,3,48929,37,Male,Postgraduate,Salaried,0.78,28,3,9.6,Team_A,5,17.33,1.72,Completed
R00137,HH0053,PSU145,Urban,West,Gujarat,Urban,7,101768,29,Male,Higher Secondary,Student,0.85,38,1,7.6,Team_C,2,16.37,1.9,Not Available
R00138,HH0053,PSU161,Urban,West,Gujarat,Urban,6,46282,44,Male,Graduate,Farmer,0.78,37,3,11.1,Team_C,6,19.49,1.69,Completed
R00139,HH0054,PSU109,Urban,West,Maharashtra,Urban,3,43479,57,Male,Graduate,Self-employed,0.77,23,3,13.1,Team_C,4,19.46,1.13,Completed
R00140,HH0055,PSU102,Urban,East,Odisha,Urban,4,56966,31,Male,Higher Secondary,Farmer,0.78,29,3,10.0,Team_D,4,17.62,2.13,Completed
R00141,HH0055,PSU181,Urban,South,Kerala,Urban,7,119160,59,Female,Higher Secondary,Salaried,0.67,43,4,12.6,Team_D,1,23.55,1.85,Completed
R00142,HH0055,PSU114,Urban,North,Punjab,Urban,6,35333,26,Male,Higher Secondary,Unemployed,0.88,37,1,4.9,Team_D,8,13.69,1.81,Completed
R00143,HH0055,PSU107,Urban,South,Tamil Nadu,Urban,5,31119,36,Female,Secondary,Student,0.83,35,2,9.5,Team_A,2,18.18,0.92,Completed
R00144,HH0056,PSU128,Urban,West,Maharashtra,Urban,6,95764,45,Male,Postgraduate,Salaried,0.81,38,2,10.4,Team_D,8,18.23,2.49,Completed
R00145,HH0056,PSU116,Urban,East,Bihar,Urban,2,53307,39,Female,Higher Secondary,Farmer,0.8,26,2,7.2,Team_C,6,15.52,2.27,Completed
R00146,HH0057,PSU175,Urban,West,Maharashtra,Urban,5,38916,66,Male,Secondary,Farmer,0.69,38,4,14.7,Team_D,7,24.79,1.57,Completed
R00147,HH0057,PSU190,Urban,North,Haryana,Urban,7,50525,32,Male,Postgraduate,Student,0.91,44,1,6.0,Team_A,4,16.29,1.77,Completed
R00148,HH0058,PSU154,Urban,South,Karnataka,Urban,7,73414,44,Female,Primary,Salaried,0.71,44,4,12.9,Team_C,9,22.37,1.66,Completed
R00149,HH0059,PSU148,Urban,East,Odisha,Urban,5,86344,30,Female,Primary,Self-employed,0.79,37,3,12.9,Team_A,5,22.51,2.27,Not Available
R00150,HH0060,PSU118,Urban,West,Maharashtra,Urban,2,62290,34,Female,Graduate,Farmer,0.78,22,2,7.9,Team_D,4,13.92,0.92,Completed
R00151,HH0061,PSU193,Urban,North,Punjab,Urban,6,94781,40,Female,Primary,Farmer,0.7,46,4,14.6,Team_C,7,25.88,1.25,Completed
R00152,HH0061,PSU172,Urban,South,Kerala,Urban,7,71022,22,Female,Postgraduate,Self-employed,0.86,40,1,5.3,Team_D,1,13.86,2.27,Completed
R00153,HH0061,PSU101,Urban,North,Haryana,Urban,8,73187,40,Female,Secondary,Student,0.8,37,3,12.0,Team_C,2,20.22,1.66,Completed
R00154,HH0062,PSU140,Urban,West,Gujarat,Urban,3,99458,51,Male,Postgraduate,Student,0.75,27,3,9.4,Team_D,3,17.13,1.24,Completed
R00155,HH0062,PSU128,Urban,East,Odisha,Urban,8,67339,36,Male,Graduate,Student,0.9,43,1,7.2,Team_A,5,16.25,2.4,Completed
R00156,HH0062,PSU102,Urban,North,Delhi,Urban,3,49108,55,Female,Graduate,Self-employed,0.89,31,1,7.6,Team_B,4,16.24,1.0,Completed
R00157,HH0063,PSU180,Urban,North,Haryana,Urban,4,117386,43,Female,Postgraduate,Salaried,0.79,27,3,11.6,Team_C,3,19.38,1.72,Completed
R00158,HH0064,PSU121,Urban,East,Bihar,Urban,2,52045,43,Female,Secondary,Unemployed,0.87,32,1,5.9,Team_B,3,14.79,1.79,Completed
R00159,HH0065,PSU127,Urban,West,Gujarat,Urban,2,52900,18,Male,Higher Secondary,Student,0.66,29,4,13.8,Team_D,5,21.37,1.05,Completed
R00160,HH0065,PSU161,Urban,North,Delhi,Urban,3,37833,60,Female,Primary,Salaried,0.86,24,1,6.1,Team_C,2,12.42,1.05,Completed
R00161,HH0066,PSU162,Urban,South,Karnataka,Urban,2,37192,18,Male,Graduate,Self-employed,0.89,23,1,7.3,Team_B,5,14.62,2.31,Not Available
R00162,HH0067,PSU113,Urban,South,Kerala,Urban,4,41346,42,Male,Graduate,Student,0.77,33,3,11.7,Team_A,5,20.51,0.96,Refused
R00163,HH0067,PSU186,Urban,South,Kerala,Urban,2,69181,22,Female,Primary,Farmer,0.89,30,1,6.3,Team_B,9,13.63,2.19,Completed
R00164,HH0067,PSU121,Urban,North,Punjab,Urban,7,107983,33,Male,Graduate,Unemployed,0.84,41,1,4.3,Team_A,8,14.7,2.02,Completed
R00165,HH0067,PSU178,Urban,South,Kerala,Urban,7,97959,38,Female,Primary,Farmer,0.84,35,1,7.1,Team_B,9,16.19,1.54,Completed
R00166,HH0067,PSU151,Urban,South,Tamil Nadu,Urban,2,66897,34,Male,Higher Secondary,Salaried,0.86,15,1,4.8,Team_A,1,10.66,1.54,Refused
R00167,HH0067,PSU187,Urban,North,Haryana,Urban,7,88092,60,Female,Primary,Student,0.86,38,1,6.3,Team_D,3,14.75,0.98,Completed
